CMDLINE python3 main.py
MEM 0.750000 1707719534.9563
MEM 30.621094 1707719535.0565
MEM 45.011719 1707719535.1568
MEM 51.875000 1707719535.2570
MEM 61.875000 1707719535.3572
MEM 74.125000 1707719535.4575
MEM 2460.750000 1707719535.5578
MEM 4816.250000 1707719535.6580
MEM 7271.625000 1707719535.7583
MEM 9740.625000 1707719535.8586
MEM 12380.375000 1707719535.9588
MEM 15071.625000 1707719536.0595
MEM 17523.625000 1707719536.1598
MEM 19940.500000 1707719536.2601
MEM 22353.625000 1707719536.3604
MEM 24922.875000 1707719536.4606
MEM 25363.195312 1707719536.5609
MEM 25363.695312 1707719536.6613
MEM 25363.695312 1707719536.7616
MEM 25363.695312 1707719536.8620
MEM 25363.695312 1707719536.9624
MEM 25363.695312 1707719537.0626
MEM 25363.695312 1707719537.1629
MEM 25363.695312 1707719537.2632
MEM 25363.695312 1707719537.3635
MEM 25363.695312 1707719537.4639
MEM 25363.695312 1707719537.5642
MEM 25363.695312 1707719537.6646
MEM 25363.695312 1707719537.7649
MEM 25365.070312 1707719537.8652
MEM 25365.070312 1707719537.9655
MEM 25365.070312 1707719538.0659
MEM 25365.070312 1707719538.1662
MEM 25365.070312 1707719538.2666
MEM 25365.070312 1707719538.3669
MEM 25365.070312 1707719538.4672
MEM 25365.070312 1707719538.5675
MEM 25365.070312 1707719538.6678
MEM 25365.070312 1707719538.7682
MEM 25365.070312 1707719538.8685
MEM 25365.070312 1707719538.9689
MEM 25365.070312 1707719539.0693
MEM 25365.070312 1707719539.1696
MEM 25365.195312 1707719539.2699
MEM 25365.195312 1707719539.3702
MEM 25365.195312 1707719539.4706
MEM 25365.195312 1707719539.5709
MEM 25365.195312 1707719539.6713
MEM 25365.195312 1707719539.7716
MEM 25365.195312 1707719539.8720
MEM 25365.195312 1707719539.9723
MEM 25365.195312 1707719540.0727
MEM 25365.195312 1707719540.1729
MEM 25365.195312 1707719540.2732
MEM 25365.195312 1707719540.3735
MEM 25365.195312 1707719540.4739
MEM 25365.195312 1707719540.5742
MEM 25367.289062 1707719540.6746
MEM 25367.289062 1707719540.7749
MEM 25367.289062 1707719540.8753
MEM 25367.289062 1707719540.9760
MEM 25367.289062 1707719541.0767
MEM 25367.289062 1707719541.1775
MEM 25367.289062 1707719541.2781
MEM 25367.289062 1707719541.3786
MEM 25367.289062 1707719541.4790
MEM 25367.289062 1707719541.5794
MEM 25367.289062 1707719541.6798
MEM 25367.289062 1707719541.7801
MEM 25367.289062 1707719541.8805
MEM 25367.289062 1707719541.9809
MEM 25367.289062 1707719542.0813
MEM 25367.289062 1707719542.1816
MEM 25367.289062 1707719542.2819
MEM 25367.289062 1707719542.3823
MEM 25367.289062 1707719542.4827
MEM 25367.289062 1707719542.5831
MEM 25367.289062 1707719542.6834
MEM 25367.289062 1707719542.7837
MEM 25367.289062 1707719542.8841
MEM 25367.289062 1707719542.9844
MEM 25367.289062 1707719543.0848
MEM 25367.289062 1707719543.1852
MEM 25367.289062 1707719543.2855
MEM 25367.289062 1707719543.3859
MEM 25367.289062 1707719543.4863
MEM 25367.289062 1707719543.5867
MEM 25367.289062 1707719543.6870
MEM 25367.289062 1707719543.7873
MEM 25367.289062 1707719543.8877
MEM 25367.289062 1707719543.9879
MEM 25369.382812 1707719544.0883
MEM 25369.382812 1707719544.1887
MEM 25369.382812 1707719544.2891
MEM 25369.382812 1707719544.3895
MEM 25369.382812 1707719544.4899
MEM 25369.382812 1707719544.5903
MEM 25369.382812 1707719544.6906
MEM 25369.382812 1707719544.7910
MEM 25369.382812 1707719544.8913
MEM 25369.382812 1707719544.9917
MEM 25369.382812 1707719545.0921
MEM 25369.382812 1707719545.1926
MEM 25369.382812 1707719545.2929
MEM 25369.382812 1707719545.3933
MEM 25369.382812 1707719545.4937
MEM 25369.382812 1707719545.5940
MEM 25369.382812 1707719545.6943
